Category,Generator,pid,lat,lon,Capacity_MW,ISO,State,EIA Plant ID,EIA Gen ID,coord_source,cluster_id,cluster_centroid_lat,cluster_centroid_lon,cluster_capacity_mw,Azimuth Angle,Tilt Angle,DC Net Capacity (MW),array_type,module_type,dc_ac_ratio
PV_SUN,(3K) 59 Hetcheltown Rd (P3101),s1,42.87657,-73.91048,1.4,NYISO,NY,66729,P3101,original,0,42.8189006,-73.91168667,50.3,178,20,1.7,0,0,1.214285714
PV_SUN,100 Brook Hill Drive Solar (BHD),s2,41.09305,-73.9828,2,NYISO,NY,63292,BHD,original,5,41.09795,-73.962,4,173,5,2.5,0,0,1.25
PV_SUN,100 Lower (100LR),s3,41.294,-74.539,2,NYISO,NY,65620,100LR,original,6,41.3455746,-74.53455667,27.8,180,25,2.9,0,0,1.45
PV_SUN,1639 RT 29 Solar 1 (19822),s4,43.043,-74.2494,4,NYISO,NY,65785,19822,original,24,43.02264969,-74.31503692,80.7,180,25,6,0,0,1.5
PV_SUN,1639 RT 29 Solar 2 (19823),s5,43.043,-74.2494,2.5,NYISO,NY,65786,19823,original,24,43.02264969,-74.31503692,80.7,180,25,3.7,0,0,1.48
PV_SUN,"25 Ashdown Road Solar, LLC (ASHDO)",s6,42.8826,-73.879,4,NYISO,NY,62998,ASHDO,original,0,42.8189006,-73.91168667,50.3,0,25,5.8,0,0,1.45
PV_SUN,3104 Batavia Solar (20205),s7,42.9994,-78.27517,3,NYISO,NY,66036,20205,original,32,43.009954,-78.231715,28,180,25,4.5,0,0,1.5
PV_SUN,3232 Batavia Solar (20206),s8,43.00024,-78.26818,4,NYISO,NY,66037,20206,original,32,43.009954,-78.231715,28,180,60,5,0,0,1.25
PV_SUN,3715 Oxford RD (20148),s9,43.039,-75.283,3.8,NYISO,NY,67033,20148,original,35,43.039,-75.283,3.8,,,,,,
PV_SUN,456 Lower (456LR),s10,41.311,-74.522,1.4,NYISO,NY,65621,456LR,original,6,41.3455746,-74.53455667,27.8,180,25,1.7,0,0,1.214285714
PV_SUN,6140 Route 209 - North (7140),s11,41.7876,-74.2889,4,NYISO,NY,64046,7140,original,44,41.7866,-74.25895,8,180,25,5.6,0,0,1.4
PV_SUN,700 Binnewater (7BPV1),s12,42.36,-71.06,1.1,ISONE,NY,67456,7BPV1,iso,2,42.35995282,-71.05931549,2596.4,180,30,1.6,0,0,1.454545455
PV_SUN,Above Grid Montour Solar LLC (20435),s13,42.95,-75.52,5,NYISO,NY,68008,20435,iso,53,42.94982585,-75.51932041,2741.1,,,,,,
PV_SUN,Acer (ACER),s14,42.95,-75.52,4.3,NYISO,NY,67632,ACER,iso,53,42.94982585,-75.51932041,2741.1,180,20,5.61,2,0,1.304651163
PV_SUN,Adirondack Solar (1394),s15,44.8936,-73.8417,1.1,NYISO,NY,63772,1394,original,72,44.8936,-73.8417,1.1,0,30,1.7,0,0,1.545454545
PV_SUN,Aegis CSG (19),s16,42.7647,-77.3439,2,NYISO,NY,63059,19,original,74,42.7647,-77.3439,2,0,25,3,2,0,1.5
PV_SUN,AES Baird Solar CSG (BAIRD),s17,42.95,-75.52,4.5,NYISO,NY,67975,BAIRD,iso,53,42.94982585,-75.51932041,2741.1,,,,,,
PV_SUN,AES Glengarry Farms Solar CSG (GLENG),s18,42.95,-75.52,5,NYISO,NY,68389,GLENG,iso,53,42.94982585,-75.51932041,2741.1,,,,,,
PV_SUN,AES Laubacher Solar CSG (LAUBA),s19,42.95,-75.52,2.5,NYISO,NY,67974,LAUBA,iso,53,42.94982585,-75.51932041,2741.1,,,,,,
PV_SUN,AES Rt 5 Solar CSG (RT5SS),s20,42.95,-75.52,5,NYISO,NY,68388,RT5SS,iso,53,42.94982585,-75.51932041,2741.1,,,,,,
PV_SUN,AES Tonawanda Solar LLC (TNWDA),s21,42.9971,-78.9017,2,NYISO,NY,63161,TNWDA,original,82,42.9991,-78.9079,7,0,25,2.6,0,0,1.3
PV_SUN,Afton Solar (18808),s22,42.242298,-75.53364,5,NYISO,NY,66521,18808,original,84,42.260349,-75.53757,8.3,,,,,,
PV_SUN,Airport Road Solar (AIRPT),s23,41.4283,-74.3967,3.4,NYISO,NY,65385,AIRPT,original,93,41.404046,-74.366058,13.9,180,25,3.6,0,0,1.058823529
PV_SUN,Alexander Road Solar (ALEX),s24,42.36,-71.06,1.6,ISONE,NY,67409,ALEX,iso,2,42.35995282,-71.05931549,2596.4,180,55,2.11,2,0,1.31875
PV_SUN,Allis Medina Solar LLC CSG (ALLIS),s25,43.2205,-78.3574,5,NYISO,NY,63129,ALLIS,original,109,43.22305,-78.35665,8.5,31,25,7.3,2,0,1.46
PV_SUN,Altamont (NY) (SC),s26,42.95,-75.52,2.3,NYISO,NY,67403,SC,iso,53,42.94982585,-75.51932041,2741.1,180,25,2.8,0,0,1.217391304
PV_SUN,Amazon JFK8 Solar Project (JFK8),s27,40.6189,-74.1875,4.9,NYISO,NY,64351,JFK8,original,39,40.68322375,-74.15103042,90.9,221,10,7,0,0,1.428571429
PV_SUN,Amherst Community Solar (18208),s28,43.049931,-78.74605,5,NYISO,NY,66522,18208,original,334,43.014037,-78.77686667,11.5,182,45,6.4,2,0,1.28
PV_SUN,Amsterdam North (10044),s29,42.9536,-74.1198,2,NYISO,NY,61904,10044,original,130,42.95566,-74.1597,12.4,180,22,3,0,0,1.5
PV_SUN,Amsterdam South (10045),s30,42.949,-74.1262,2,NYISO,NY,61905,10045,original,130,42.95566,-74.1597,12.4,180,22,3,0,0,1.5
PV_SUN,Angelica Solar Site 1 (A1),s31,42.30639,-78.07039,5,NYISO,NY,66061,A1,original,140,42.30383975,-78.0732275,20,195,20,7.1,0,0,1.42
PV_SUN,Angelica Solar Site 2 (A2),s32,42.304408,-78.07668,5,NYISO,NY,66062,A2,original,140,42.30383975,-78.0732275,20,195,20,7.1,0,0,1.42
PV_SUN,Angelica Solar Site 3 (A3),s33,42.301546,-78.07492,5,NYISO,NY,66063,A3,original,140,42.30383975,-78.0732275,20,195,20,7.1,0,0,1.42
PV_SUN,Angelica Solar Site 4 (A4),s34,42.303015,-78.07092,5,NYISO,NY,66064,A4,original,140,42.30383975,-78.0732275,20,195,20,7.1,0,0,1.42
PV_SUN,Anheuser-Busch Baldwinsville (BAL01),s35,43.1515,-76.4148,2,NYISO,NY,61575,BAL01,original,143,43.16317333,-76.38632333,12,180,25,2.8,0,0,1.4
PV_SUN,ASA Clayton NY Solar I LLC (CLA1),s36,44.1618,-76.109,1.3,NYISO,NY,65161,CLA1,original,177,44.1618,-76.109,1.3,180, ,1.68,2,0,1.292307692
PV_SUN,ASA DeKalb NY Solar I LLC (DEK1),s37,44.4921,-75.2448,5,NYISO,NY,65156,DEK1,original,178,44.47076667,-75.23306667,10.2,20,25,6,0,0,1.2
PV_SUN,ASA DeKalb NY Solar II LLC (DEK2),s38,44.4882,-75.2444,3,NYISO,NY,65155,DEK2,original,178,44.47076667,-75.23306667,10.2,203,25,3.9,0,0,1.3
PV_SUN,ASA DeKalb NY Solar III LLC (DEK3),s39,44.4241,-75.3792,3.3,NYISO,NY,65067,DEK3,original,180,44.369,-75.44138,13.3,22,25,4,2,0,1.212121212
PV_SUN,ASA Gouverneur NY Solar I LLC (GOV1),s40,44.3909,-75.4432,1.5,NYISO,NY,65157,GOV1,original,180,44.369,-75.44138,13.3,180,0,1.94,2,0,1.293333333
PV_SUN,ASA Gouverneur NY Solar II LLC (GOV2),s41,44.3601,-75.4275,4,NYISO,NY,65158,GOV2,original,180,44.369,-75.44138,13.3,180, ,5.23,2,0,1.3075
PV_SUN,ASA Volney NY Solar I LLC (VOL1),s42,43.3282,-76.359,5,NYISO,NY,65159,VOL1,original,181,43.3454,-76.380255,10.7,25,0,6.7,0,0,1.34
PV_SUN,Avon Solar Farm LLC (AVON2),s43,42.95,-75.52,4,NYISO,NY,67202,AVON2,iso,53,42.94982585,-75.51932041,2741.1,170,0,4.9,2,0,1.225
PV_SUN,Baer Road CSG (7),s44,41.797,-75.068,2,NYISO,NY,62034,7,original,219,41.7859,-75.05205,3.4,180,20,2.7,0,0,1.35
PV_SUN,Bantam Solar (10986),s45,43.070426,-74.73077,5,NYISO,NY,66209,10986,original,231,43.048537,-74.71685667,8.4,0,66,6.5,2,0,1.3
PV_SUN,Barneveld Solar (PV1),s46,43.2514,-75.1772,1,NYISO,NY,63279,PV1,original,235,43.2514,-75.1772,1,180,20,1.4,0,0,1.4
PV_SUN,Barone (11034),s47,42.95,-75.52,3,NYISO,NY,67613,11034,iso,53,42.94982585,-75.51932041,2741.1,21.5,55,4.04,2,0,1.346666667
PV_SUN,Beals Medina Solar LLC (BEALS),s48,43.2256,-78.3559,3.5,NYISO,NY,63130,BEALS,original,109,43.22305,-78.35665,8.5,31,25,5.2,0,0,1.485714286
PV_SUN,Bellisario Solar 1 (B1),s49,42.4498,-76.1211,5,NYISO,NY,64593,B1,original,286,42.45156667,-76.12466667,15,180,20,7.5,0,0,1.5
PV_SUN,Bellisario Solar 2 (B1),s50,42.4519,-76.1211,5,NYISO,NY,64594,B1,original,286,42.45156667,-76.12466667,15,180,20,7.5,0,0,1.5
PV_SUN,Bellisario Solar 3 (B1),s51,42.453,-76.1318,5,NYISO,NY,64595,B1,original,286,42.45156667,-76.12466667,15,180,20,7.5,0,0,1.5
PV_SUN,Bennett (304),s52,42.9352,-77.4711,1.4,NYISO,NY,63410,304,original,293,42.9352,-77.4711,1.4,0,55,2,2,0,1.428571429
PV_SUN,Bethlehem - East (BE),s53,42.539,-73.8243,1.7,NYISO,NY,60477,BE,original,309,42.52863767,-73.82837,22.7,180,25,2.4,0,0,1.411764706
PV_SUN,Bethlehem - West (BW),s54,42.539,-73.8243,1,NYISO,NY,60478,BW,original,309,42.52863767,-73.82837,22.7,180,25,1.2,0,0,1.2
PV_SUN,Bethlehem Solar (157),s55,42.6011,-73.8874,1.7,NYISO,NY,63079,157,original,310,42.594,-73.8762,3.7,0,25,2.2,2,0,1.294117647
PV_SUN,Big Tree Community Solar Farm (607),s56,42.766,-78.559,2,NYISO,NY,62476,607,original,324,42.766,-78.559,2,180,25,2.8,0,0,1.4
PV_SUN,Bizer Creek (561),s57,43.00008,-78.79375,1.5,NYISO,NY,66094,561,original,334,43.014037,-78.77686667,11.5,180,25,1.8,0,0,1.2
PV_SUN,Blanchard Road 1 Community Solar (BR1CS),s58,44.2548,-76.0118,5,NYISO,NY,64084,BR1CS,original,345,44.25648,-76.00766,25,180,60,7.6,2,0,1.52
PV_SUN,Blanchard Road 2 Community Solar (BR2CS),s59,44.2548,-76.0118,5,NYISO,NY,64087,BR2CS,original,345,44.25648,-76.00766,25,180,60,7.6,2,0,1.52
PV_SUN,Bluestone (BLU),s60,41.9875,-74.0302,2,NYISO,NY,63750,BLU,original,368,42.0076,-74.01585,7.2,180,25,3,0,0,1.5
PV_SUN,Blydenburgh Solar Project (BLYD),s61,40.8153,-73.1824,1.5,NYISO,NY,61900,BLYD,original,371,40.8445,-73.2283,7,180,20,2.3,0,0,1.533333333
PV_SUN,Boas Rd #1 Community Solar Farm (496),s62,44.9343,-73.6724,2,NYISO,NY,62530,496,original,374,44.933,-73.67128,12.1,180,25,2.9,0,0,1.45
PV_SUN,Boas Rd #2 Community Solar Farm (1010),s63,44.9332,-73.6712,2,NYISO,NY,62531,1010,original,374,44.933,-73.67128,12.1,180,25,2.8,0,0,1.4
PV_SUN,Boas Rd #3 Community Solar Farm (1011),s64,44.9335,-73.6693,2,NYISO,NY,62532,1011,original,374,44.933,-73.67128,12.1,180,25,2.8,0,0,1.4
PV_SUN,Boas Rd #4 Community Solar Farm (1023),s65,44.929,-73.6665,2,NYISO,NY,62533,1023,original,374,44.933,-73.67128,12.1,180,25,2.8,0,0,1.4
PV_SUN,Bodhi Solar (BODHI),s66,42.95,-75.52,5,NYISO,NY,67932,BODHI,iso,53,42.94982585,-75.51932041,2741.1,180, ,7.6,2,0,1.52
PV_SUN,Bogart Solar (10887),s67,42.209593,-73.99509,2,NYISO,NY,66210,10887,original,375,42.209593,-73.99509,2,180,25,3,0,0,1.5
PV_SUN,BQ - Psychedelic Site (P5570),s68,41.71525,-74.79739,3,NYISO,NY,66812,P5570,original,392,41.71525,-74.79739,3,176.1,20.3,4.3,0,0,1.433333333
PV_SUN,Breesport Road Community Solar Farm (235),s69,42.088,-76.713,2,NYISO,NY,62157,235,original,401,42.09055,-76.69575,4,180,25,2.8,0,0,1.4
PV_SUN,Brentwood Solar (BRT1),s70,40.7814,-73.2439,1,NYISO,NY,58785,BRT1,original,404,40.7668,-73.20665,7.5,164,6,1,0,0,1
PV_SUN,Brick Church Solar (7405),s71,42.7556,-73.58,4,NYISO,NY,64017,7405,original,407,42.737,-73.619625,13,180,20,5.4,0,0,1.35
PV_SUN,Brickchurch Solar (10889),s72,43.201698,-76.96808,2,NYISO,NY,66211,10889,original,409,43.201698,-76.96808,2,180,0,3,2,0,1.5
PV_SUN,Bright Field Solar LLC(CSG) (BF),s73,42.46,-77.7383,4,NYISO,NY,64554,BF,original,414,42.46571367,-77.71250333,12,180,25,5.3,0,0,1.325
PV_SUN,Bright Hill Solar LLC(CSG) (BH),s74,42.4672,-77.7038,5,NYISO,NY,64556,BH,original,414,42.46571367,-77.71250333,12,180,25,6.8,0,0,1.36
PV_SUN,Bright Oak Solar LLC(CSG) (BO),s75,43.033,-78.2448,4,NYISO,NY,64555,BO,original,32,43.009954,-78.231715,28,180,25,5.8,0,0,1.45
PV_SUN,Broadalbin (10046),s76,43.0613,-74.1549,2,NYISO,NY,61847,10046,original,419,43.0613,-74.1549,2,180,22,3,0,0,1.5
PV_SUN,Broadalbin-Perth Solar (BAP1),s77,43.018,-74.1918,1.5,NYISO,NY,61958,BAP1,original,130,42.95566,-74.1597,12.4,180,30,1.9,0,0,1.266666667
PV_SUN,Broadway CDG Solar LLC (BROAD),s78,42.95,-75.52,5,NYISO,NY,67228,BROAD,iso,53,42.94982585,-75.51932041,2741.1,180,30,7.4,0,0,1.48
PV_SUN,Brookhaven Landfill Solar Farm 1 (BROOK),s79,42.95,-75.52,5,NYISO,NY,67979,BROOK,iso,53,42.94982585,-75.51932041,2741.1,,,,,,
PV_SUN,Broome County (NORTH),s80,42.1047,-75.9307,2,NYISO,NY,60507,NORTH,original,426,42.1047,-75.9307,4,175,30,2.3,2,0,1.15
PV_SUN,Broome County (SOUTH),s81,42.1047,-75.9307,2,NYISO,NY,60507,SOUTH,original,426,42.1047,-75.9307,4,175,30,2.3,2,0,1.15
PV_SUN,Buck Run (BUCKR),s82,42.95,-75.52,5,NYISO,NY,67634,BUCKR,iso,53,42.94982585,-75.51932041,2741.1,180,20,5.58,2,0,1.116
PV_SUN,Buffalo NY GigaFactory (PV1),s83,42.8593,-78.8418,2,NYISO,NY,65071,PV1,original,437,42.82678333,-78.85001667,12.4,47,10,2.4,0,0,1.2
PV_SUN,Bullis Road Solar (CSG) (BULLS),s84,42.8363,-78.5728,4.5,NYISO,NY,64965,BULLS,original,441,42.8363,-78.5728,4.5,180, ,5.7,2,0,1.266666667
PV_SUN,Bullitt Farm Solar (10998),s85,43.19567,-75.26312,5,NYISO,NY,66490,10998,original,442,43.16854817,-75.38588417,41.4,180,60,6.5,2,0,1.3
PV_SUN,Burritt Rd Community Solar Farm (635),s86,43.275,-77.764,2,NYISO,NY,62480,635,original,450,43.30845,-77.754084,11.7,180,25,2.8,0,0,1.4
PV_SUN,Cafferty Hill Solar (10996),s87,42.081843,-76.11289,5,NYISO,NY,66215,10996,original,709,42.10363167,-76.15798333,15,180,25,6.9,0,0,1.38
PV_SUN,Calabro Airport North Solar Project (NORTH),s88,40.8224,-72.875,1.3,NYISO,NY,63497,NORTH,original,470,40.83166667,-72.85996667,34,180,25,1.8,0,0,1.384615385
PV_SUN,Calabro Airport South Solar Project (SOUTH),s89,40.8115,-72.8571,1.2,NYISO,NY,63498,SOUTH,original,470,40.83166667,-72.85996667,34,180,20,1.7,0,0,1.416666667
PV_SUN,Caledonia CSG LLC (CALED),s90,42.95,-75.52,5,NYISO,NY,68405,CALED,iso,53,42.94982585,-75.51932041,2741.1,180,20,6,0,0,1.2
PV_SUN,Call Farms 1 (CFM11),s91,43.0378,-78.1873,2,NYISO,NY,61470,CFM11,original,32,43.009954,-78.231715,28,180,25,2.9,0,0,1.45
PV_SUN,Call Farms 3 (CFM31),s92,43.023,-78.1786,2,NYISO,NY,61471,CFM31,original,32,43.009954,-78.231715,28,180,25,2.8,0,0,1.4
PV_SUN,Calverton (CALV),s93,40.9211,-72.7437,3,NYISO,NY,60452,CALV,original,473,40.92224,-72.7586,60.4,174,20,3.9,0,0,1.3
PV_SUN,Calverton Solar Energy Center (11933),s94,40.9137,-72.7504,22.9,NYISO,NY,65679,11933,original,473,40.92224,-72.7586,60.4,180,24,32.7,0,0,1.427947598
PV_SUN,Camden CSD Solar Array (1),s95,43.3123,-75.6953,1.8,NYISO,NY,61604,1,original,474,43.3123,-75.6953,1.8,184,25,2.4,2,0,1.333333333
PV_SUN,CAMILLUS A (CSG) (CAM A),s96,42.95,-75.52,5,NYISO,NY,68207,CAM A,iso,53,42.94982585,-75.51932041,2741.1,180,60,6.6,2,0,1.32
PV_SUN,CAMILLUS B (CSG) (CAM B),s97,42.95,-75.52,5,NYISO,NY,68206,CAM B,iso,53,42.94982585,-75.51932041,2741.1,180,60,6.6,2,0,1.32
PV_SUN,Canandaigua Solar Array (PV1),s98,42.8689,-77.2846,2,NYISO,NY,61043,PV1,original,483,42.869,-77.28455,3.3,180,30,2.5,0,0,1.25
PV_SUN,Canandaigua Westbrook Solar Array (PV1),s99,42.8691,-77.2845,1.3,NYISO,NY,61042,PV1,original,483,42.869,-77.28455,3.3,180,25,1.6,0,0,1.230769231
PV_SUN,Canoga Solar (10965),s100,42.85206,-76.8001,5,NYISO,NY,66212,10965,original,490,42.85206,-76.8001,5,180,25,7.1,0,0,1.42
PV_SUN,Capital Hill Solar LLC (531),s101,42.6853,-73.8249,1.5,NYISO,NY,64931,531,original,495,42.6853,-73.8249,1.5,180,45,1.9,2,0,1.266666667
PV_SUN,Carthage A (NECA),s102,43.997512,-75.66294,5,NYISO,NY,66822,NECA,original,506,43.98109967,-75.64743333,13.3,180,25,7.5,0,0,1.5
PV_SUN,Carthage B (NECB),s103,43.990287,-75.66126,3.3,NYISO,NY,66823,NECB,original,506,43.98109967,-75.64743333,13.3,180,25,5,0,0,1.515151515
PV_SUN,Castleton (CASTN),s104,42.523,-73.703,5,NYISO,NY,65643,CASTN,original,511,42.523,-73.703,5,180,25,7.2,0,0,1.44
PV_SUN,Catlin Solar 1 LLC (CATLI),s105,42.2859,-76.954,4,NYISO,NY,63372,CATLI,original,659,42.3377,-76.9314,9.7,180,25,6.1,0,0,1.525
PV_SUN,Catskill Solar (CATSK),s106,42.95,-75.52,5,NYISO,NY,67911,CATSK,iso,53,42.94982585,-75.51932041,2741.1,180, ,7.46,2,0,1.492
PV_SUN,CBP Solar (CBPB1),s107,41.2662,-73.9469,1.8,NYISO,NY,62613,CBPB1,original,683,41.27486667,-73.89353333,5.8,141,35,2.4,0,0,1.333333333
PV_SUN,"CEC, LLC Westtown B (CLWB)",s108,41.3453,-74.5613,2,NYISO,NY,65597,CLWB,original,6,41.3455746,-74.53455667,27.8,180,25,2.8,0,0,1.4
PV_SUN,Cedar Creek PV (CEDR1),s109,40.6489,-73.5067,1.8,NYISO,NY,61376,CEDR1,original,529,40.6489,-73.5067,1.8,171,15,2.7,0,0,1.5
PV_SUN,CES Marbletown Solar (MT1),s110,41.8857,-74.1027,3,NYISO,NY,63729,MT1,original,545,41.889062,-74.09815,5,180,25,4.4,0,0,1.466666667
PV_SUN,Chambers 3 - Erie County Alden (GEN1),s111,42.9328,-78.5572,2,NYISO,NY,65233,GEN1,original,550,42.93847633,-78.57665333,12,180,30,2.5,0,0,1.25
PV_SUN,Chambers 3 - Lewis County (GEN1),s112,43.7801,-75.4999,2,NYISO,NY,65232,GEN1,original,551,43.7801,-75.4999,2,180,30,2.5,0,0,1.25
PV_SUN,Chambers Road Solar (263),s113,42.1874,-76.8944,4,NYISO,NY,62860,263,original,552,42.18673333,-76.8615,7.7,180,20,5.5,0,0,1.375
PV_SUN,Chenango Solar (PV1),s114,42.1982,-75.9273,4.9,NYISO,NY,63450,PV1,original,564,42.1982,-75.9273,4.9,180,20,6.1,0,0,1.244897959
PV_SUN,Chester CSG (CH),s115,41.339,-74.288,2,NYISO,NY,62761,CH,original,570,41.35905,-74.2759,4,180,20,2.7,0,0,1.35
PV_SUN,Chidsey Hill Road Solar (1666),s116,42.95,-75.52,3,NYISO,NY,65828,1666,iso,53,42.94982585,-75.51932041,2741.1,,,,,,
PV_SUN,Cicero Energy Storage 1 LLC (CCPV1),s117,43.147448,-76.08677,5,NYISO,NY,66501,CCPV1,original,585,43.1586794,-76.093602,20.7,0,20,7.7,0,0,1.54
PV_SUN,Cicero Energy Storage 2 LLC (CCPV2),s118,43.151269,-76.08879,5,NYISO,NY,66503,CCPV2,original,585,43.1586794,-76.093602,20.7,0,20,7.6,0,0,1.52
PV_SUN,City of Rochester Solar (ROC01),s119,43.1769,-77.6785,1.8,NYISO,NY,61804,ROC01,original,591,43.1769,-77.6785,1.8,180,15,2.6,0,0,1.444444444
PV_SUN,"CJ Solar I, LLC (LWCJ1)",s120,44.7,-75.3,2,NYISO,NY,61719,LWCJ1,original,593,44.7,-75.3,3.5,180,25,2.8,0,0,1.4
PV_SUN,Clarkson Solar (CSPV),s121,44.6719,-74.9494,2,NYISO,NY,59623,CSPV,original,598,44.676552,-74.95918,11.6,135,25,2.3,0,0,1.15
PV_SUN,Clarkstown Landfill Solar Facility (INV#1),s122,41.1004,-73.9516,1,NYISO,NY,60004,INV#1,original,5,41.09795,-73.962,4,109,45,1.1,0,2,1.1
PV_SUN,Clarkstown Landfill Solar Facility (INV#2),s123,41.1004,-73.9516,1,NYISO,NY,60004,INV#2,original,5,41.09795,-73.962,4,109,45,1.1,0,2,1.1
PV_SUN,Claverack Creek Solar (CLAVE),s124,42.95,-75.52,5,NYISO,NY,67912,CLAVE,iso,53,42.94982585,-75.51932041,2741.1,180, ,7.46,2,0,1.492
PV_SUN,Clay Solar CSG (CLAY1),s125,43.1945,-76.212,5,NYISO,NY,64373,CLAY1,original,601,43.179526,-76.23990333,9.5,180,25,7.5,0,0,1.5
PV_SUN,Clemons Road Solar (CLEM),s126,42.36,-71.06,2.8,ISONE,NY,67407,CLEM,iso,2,42.35995282,-71.05931549,2596.4,180,15,3.46,2,0,1.235714286
PV_SUN,"Clifton Park Solar 1, LLC (CP1)",s127,42.839,-73.8347,5,NYISO,NY,64680,CP1,original,0,42.8189006,-73.91168667,50.3,180,25,7.5,0,0,1.5
